domain,CDN,IP
store.baidu.com,No,['123.125.115.15']
w.baidu.com,No,"['220.181.38.148', '220.181.38.251']"
finance.baidu.com,No,"['180.101.49.131', '180.97.33.136']"
ads.baidu.com,No,['10.42.4.225']
sms.baidu.com,No,['10.42.4.184']
ww.baidu.com,No,"['220.181.38.251', '220.181.38.148']"
owa.baidu.com,No,['111.202.115.84']
live.baidu.com,No,['180.97.104.167']
ns5.baidu.com,No,['220.181.33.63']
member.baidu.com,No,['112.80.255.173']
go.baidu.com,No,['180.97.33.123']
ad.baidu.com,No,['182.61.62.50']
security.baidu.com,No,['10.58.121.74']
game.baidu.com,No,['180.97.33.25']
so.baidu.com,No,['106.12.34.143']
exchange.baidu.com,No,['10.26.109.19']
meet.baidu.com,No,['220.181.3.71']
hk.baidu.com,No,"['220.181.38.148', '220.181.38.251']"
tools.baidu.com,No,['10.48.30.110']
svn.baidu.com,No,['10.65.211.174']
ask.baidu.com,No,['10.58.222.200']
sp.baidu.com,No,['10.143.188.18']
mx2.baidu.com,No,['61.135.163.62']
book.baidu.com,No,['111.13.108.110']
job.baidu.com,No,"['220.181.107.249', '220.181.107.248']"
access.baidu.com,No,['10.94.49.39']
hr.baidu.com,No,['180.149.144.205']
ws.baidu.com,No,['10.94.35.35']
wt.baidu.com,No,['10.94.40.19']
hd.baidu.com,No,['180.149.131.33']
dx.baidu.com,No,['180.76.177.224']
metrics.baidu.com,No,['10.42.7.60']
b.baidu.com,No,"['180.97.93.62', '180.97.93.61']"
preview.baidu.com,No,['10.50.14.162']
dj.baidu.com,No,"['180.76.141.217', '180.76.183.17']"
backup.baidu.com,No,['10.143.145.28']
photos.baidu.com,No,['180.97.33.134']
feeds.baidu.com,No,['180.97.104.75']
ss.baidu.com,No,['14.215.178.192']
IN.baidu.com,No,['180.101.49.180']
hb.baidu.com,No,['180.97.33.29']
qa.baidu.com,No,['220.181.107.197']
gb.baidu.com,No,['10.94.39.59']
file.baidu.com,No,['180.149.131.33']
monitor.baidu.com,No,['10.91.161.200']
git.baidu.com,No,['10.42.4.104']
tw.baidu.com,No,"['220.181.38.251', '220.181.38.148']"
auth.baidu.com,No,['180.101.49.135']
1.baidu.com,No,['180.97.36.93']
lab.baidu.com,No,"['180.149.144.192', '180.149.132.122']"
js.baidu.com,No,['220.181.107.193']
ent.baidu.com,No,"['180.101.49.131', '180.97.33.136']"
vc.baidu.com,No,['61.135.165.169']
ntp.baidu.com,No,['10.48.49.44']
vote.baidu.com,No,"['220.181.107.249', '220.181.107.248']"
house.baidu.com,No,['180.97.93.28']
abc.baidu.com,No,"['180.101.49.11', '180.101.49.12']"
games.baidu.com,No,['180.97.33.25']
research.baidu.com,No,['180.76.149.102']
weather.baidu.com,No,"['220.181.107.249', '220.181.107.248']"
design.baidu.com,No,['180.101.49.161']
labs.baidu.com,No,['10.48.37.38']
cm.baidu.com,No,['220.181.107.138']
auto.baidu.com,No,"['180.101.49.131', '180.97.33.136']"
education.baidu.com,No,"['220.181.107.248', '220.181.107.249']"
user.baidu.com,No,['10.242.113.33']
f.baidu.com,No,['180.97.104.235']
origin.baidu.com,No,"['10.50.14.165', '10.26.5.60']"
x.baidu.com,No,['180.76.177.109']
ca.baidu.com,No,['111.202.115.77']
feedback.baidu.com,No,['180.149.131.33']
ly.baidu.com,No,['180.97.33.123']
www5.baidu.com,No,"['61.135.169.105', '61.135.169.125']"
ems.baidu.com,No,['10.38.75.31']
partner.baidu.com,No,"['61.135.185.112', '220.181.33.224', '112.34.113.34']"
ssl.baidu.com,No,['10.58.121.74']
fz.baidu.com,No,"['180.101.49.147', '180.101.212.65']"
sg.baidu.com,No,['180.97.34.31']
money.baidu.com,No,"['180.101.49.131', '180.97.33.136']"
bugs.baidu.com,No,['10.42.4.177']
sales.baidu.com,No,['106.12.89.132']
marketing.baidu.com,No,"['36.152.44.78', '61.135.185.96', '180.101.212.81']"
tg.baidu.com,No,['61.135.162.145']
rms.baidu.com,No,"['10.65.211.49', '10.57.13.63']"
brand.baidu.com,No,"['117.185.16.100', '39.156.66.125']"
code.baidu.com,No,['180.149.131.33']
jj.baidu.com,No,['10.36.7.47']
dm.baidu.com,No,['220.181.38.159']
pt.baidu.com,No,['123.125.114.144']
dy.baidu.com,No,['10.212.6.239']
travel.baidu.com,No,['180.97.33.123']
kb.baidu.com,No,['180.149.145.167']
cc.baidu.com,No,"['10.180.113.175', '10.16.80.154']"
th.baidu.com,No,['123.125.114.144']
global.baidu.com,No,['103.235.46.83']
sd.baidu.com,No,['103.235.46.69']
br.baidu.com,No,['123.125.114.144']
tech.baidu.com,No,"['180.101.49.131', '180.97.33.136']"
hy.baidu.com,No,['112.80.255.173']
bc.baidu.com,No,['10.23.250.192']
jira.baidu.com,No,['10.26.138.15']
pro.baidu.com,No,['180.97.104.203']
dc.baidu.com,No,['10.92.149.22']
flash.baidu.com,No,['180.76.141.217']
rss.baidu.com,No,['180.101.49.157']
log.baidu.com,No,['10.26.39.14']
updates.baidu.com,No,['10.26.109.19']
ce.baidu.com,No,['111.202.114.187']
hao.baidu.com,No,['10.42.161.60']
kr.baidu.com,No,['10.95.39.53']
usa.baidu.com,No,['107.180.84.128']
client.baidu.com,No,['10.242.112.16']
sports.baidu.com,No,"['180.97.33.136', '180.101.49.131']"
mms.baidu.com,No,"['180.101.49.12', '180.101.49.11']"
q.baidu.com,No,['180.97.104.98']
tu.baidu.com,No,['180.97.33.134']
mis.baidu.com,No,"['10.42.79.56', '10.46.150.64']"
ip.baidu.com,No,"['10.42.61.42', '10.92.143.21', '10.92.143.22', '10.42.94.12']"
hermes.baidu.com,No,['10.95.117.30']
sts.baidu.com,No,['10.94.49.38']
sy.baidu.com,No,"['220.181.107.249', '220.181.107.248']"
spam.baidu.com,No,['172.31.63.13']
yy.baidu.com,No,['180.101.49.105']
sj.baidu.com,No,['180.97.104.89']
ag.baidu.com,No,"['202.108.23.198', '202.108.23.199']"
doc.baidu.com,No,['180.101.212.35']
manager.baidu.com,No,['10.26.109.19']
prod.baidu.com,No,['10.65.25.83']
enterprise.baidu.com,No,['180.101.49.114']
zw.baidu.com,No,['123.125.115.15']
net.baidu.com,No,['10.242.123.17']
linux.baidu.com,No,['10.99.31.43']
z.baidu.com,No,"['220.181.107.200', '220.181.107.199']"
mars.baidu.com,No,['10.91.160.191']
ml.baidu.com,No,['10.26.140.39']
life.baidu.com,No,['180.97.36.93']
whois.baidu.com,No,['180.149.144.177']
ee.baidu.com,No,['10.46.133.175']
push.baidu.com,No,['123.125.115.34']
id.baidu.com,No,"['106.120.159.182', '14.215.177.34', '220.181.107.148']"
mp.baidu.com,No,['180.97.33.25']
idp.baidu.com,No,"['10.126.82.49', '10.206.6.159', '10.206.6.158']"
webdev.baidu.com,No,['101.89.128.48']
cf.baidu.com,No,['111.206.37.138']
pay.baidu.com,No,['220.181.33.88']
ae.baidu.com,No,['123.125.114.144']
stock.baidu.com,No,"['180.97.33.136', '180.101.49.131']"
sb.baidu.com,No,['10.46.248.42']
cert.baidu.com,No,['220.181.107.211']
stu.baidu.com,No,['180.97.33.134']
qc.baidu.com,No,['10.94.80.197']
movie.baidu.com,No,"['220.181.33.93', '106.120.159.70']"
product.baidu.com,No,['220.181.107.201']
pa.baidu.com,No,['220.181.33.105']
history.baidu.com,No,"['220.181.107.249', '220.181.107.248']"
ess.baidu.com,No,"['10.208.7.217', '10.42.8.121', '10.212.15.90']"
mi.baidu.com,No,['180.97.93.43']
fb.baidu.com,No,['180.149.131.33']
md.baidu.com,No,['180.149.131.33']
hz.baidu.com,No,['220.181.44.135']
fc.baidu.com,No,['220.181.33.15']
nc.baidu.com,No,"['112.34.111.20', '180.97.104.48', '123.125.115.81']"
ocs.baidu.com,No,['10.57.13.112']
123.baidu.com,No,"['180.101.49.11', '180.101.49.12']"
hub.baidu.com,No,['10.57.7.145']
orion.baidu.com,No,['10.26.5.201']
sync.baidu.com,No,['220.181.38.158']
zp.baidu.com,No,['182.61.200.216']
asp.baidu.com,No,['220.181.44.96']
edge.baidu.com,No,['180.97.93.88']
build.baidu.com,No,['10.23.250.58']
jn.baidu.com,No,['180.97.104.235']
se.baidu.com,No,['10.99.27.31']
mb.baidu.com,No,['180.101.49.165']
tk.baidu.com,No,['10.46.129.37']
www7.baidu.com,No,"['61.135.169.105', '61.135.169.125']"
gate.baidu.com,No,"['180.101.49.11', '180.101.49.12']"
kf.baidu.com,No,['180.149.144.111']
ds.baidu.com,No,['10.211.131.17']
learning.baidu.com,No,['180.101.212.35']
imp.baidu.com,No,['10.32.16.20']
lb.baidu.com,No,['10.202.6.208']
j.baidu.com,No,['111.206.37.50']
ops.baidu.com,No,"['10.46.7.36', '10.91.160.44', '10.26.3.240']"
developers.baidu.com,No,['180.97.33.78']
market.baidu.com,No,['180.97.33.106']
ci.baidu.com,No,['180.97.93.43']
ac.baidu.com,No,['180.97.104.203']
mkt.baidu.com,No,"['10.91.160.44', '10.26.3.240', '10.46.7.36']"
nb.baidu.com,No,['220.181.57.166']
zz.baidu.com,No,['123.125.115.62']
bio.baidu.com,No,"['10.50.14.199', '10.36.7.104']"
profile.baidu.com,No,['10.58.177.42']
law.baidu.com,No,['111.206.37.194']
japan.baidu.com,No,['119.63.198.175']
act.baidu.com,No,['180.101.49.192']
apollo.baidu.com,No,['123.125.115.15']
sl.baidu.com,No,['180.97.104.235']
gd.baidu.com,No,['10.57.239.38']
earth.baidu.com,No,"['180.97.33.136', '180.101.49.131']"
wm.baidu.com,No,"['115.239.210.106', '115.239.210.100']"
xs.baidu.com,No,"['180.101.49.20', '180.101.49.19']"
study.baidu.com,No,['180.101.212.35']
bh.baidu.com,No,"['220.181.107.249', '220.181.107.248']"
xh.baidu.com,No,['10.208.7.65']
ph.baidu.com,No,['10.65.3.117']
nagios.baidu.com,No,['10.26.109.19']
zeus.baidu.com,No,['10.46.229.22']
ceshi.baidu.com,No,['10.26.109.19']
nt.baidu.com,No,['10.99.83.43']
red.baidu.com,No,"['10.91.160.44', '10.26.3.240', '10.42.4.86', '10.36.4.130']"
mc.baidu.com,No,['180.101.49.20']
xf.baidu.com,No,['115.239.210.77']
gps.baidu.com,No,['10.242.116.21']
athena.baidu.com,No,['10.91.161.102']
conf.baidu.com,No,['106.120.159.95']
s2.baidu.com,No,['10.46.167.37']
star.baidu.com,No,"['180.149.144.20', '220.181.107.193']"
film.baidu.com,No,['180.149.131.33']
pluto.baidu.com,No,['10.99.218.166']
mt.baidu.com,No,['10.208.6.11']
ims.baidu.com,No,['10.42.186.12']
ie.baidu.com,No,['180.149.144.203']
www6.baidu.com,No,"['61.135.169.125', '61.135.169.105']"
blue.baidu.com,Yes,['114.80.30.35']
mg.baidu.com,No,['220.181.38.192']
engineering.baidu.com,No,['10.100.46.52']
sun.baidu.com,No,['10.46.11.23']
o.baidu.com,No,['10.57.13.104']
dh.baidu.com,No,['180.149.144.203']
l.baidu.com,No,['180.149.144.203']
sa.baidu.com,No,['10.94.35.13']
eas.baidu.com,No,['10.207.7.92']
ccs.baidu.com,No,"['10.16.80.154', '10.180.113.175']"
gy.baidu.com,No,"['10.194.61.37', '10.194.61.22']"
plus.baidu.com,No,"['10.212.6.106', '10.212.6.107']"
www8.baidu.com,No,"['61.135.169.125', '61.135.169.105']"
hybrid.baidu.com,No,"['180.97.34.232', '180.97.93.28']"
bank.baidu.com,No,"['180.101.49.131', '180.97.33.136']"
venus.baidu.com,No,['10.94.52.44']
cat.baidu.com,No,['220.181.33.17']
vod.baidu.com,No,['220.181.44.133']
router.baidu.com,No,['10.65.211.124']
titan.baidu.com,No,['10.99.31.41']
ht.baidu.com,No,['180.97.104.216']
la.baidu.com,No,['10.83.128.238']
box.baidu.com,No,['180.76.141.217']
webserver.baidu.com,No,['10.26.214.75']
km.baidu.com,No,['10.42.7.54']
webapp.baidu.com,No,['10.95.36.21']
focus.baidu.com,No,"['10.50.13.243', '10.57.13.25']"
portfolio.baidu.com,No,['106.120.159.50']
translate.baidu.com,No,['220.181.33.17']
www9.baidu.com,No,"['61.135.169.125', '61.135.169.105']"
lady.baidu.com,No,"['180.101.49.131', '180.97.33.136']"
dp.baidu.com,No,['10.99.54.20']
source.baidu.com,No,['106.120.159.176']
webmaster.baidu.com,No,['123.125.115.62']
lm.baidu.com,No,"['180.97.33.151', '180.101.212.63']"
banner.baidu.com,No,['180.97.36.41']
sky.baidu.com,No,['10.46.104.43']
ep.baidu.com,No,['10.65.211.57']
man.baidu.com,No,['10.227.73.168']
logs.baidu.com,No,['10.65.43.129']
gold.baidu.com,No,"['180.97.33.136', '180.101.49.131']"
sr.baidu.com,No,['180.149.131.33']
sn.baidu.com,No,['180.101.49.161']
tx.baidu.com,No,"['10.208.6.174', '10.208.6.173']"
antivirus.baidu.com,No,['103.235.46.69']
solar.baidu.com,No,['10.99.54.20']
tm.baidu.com,No,['106.120.159.234']
adv.baidu.com,No,['10.99.57.42']
com.baidu.com,No,['10.26.137.29']
internet.baidu.com,No,"['180.97.33.136', '180.101.49.131']"
disk.baidu.com,No,['180.149.144.203']
ren.baidu.com,No,['180.101.212.39']
counter.baidu.com,No,"['180.101.49.11', '180.101.49.12']"
hf.baidu.com,No,['10.99.49.60']
tb.baidu.com,No,['10.143.152.18']
01.baidu.com,No,"['180.101.212.65', '180.101.49.147']"
audit.baidu.com,No,['10.42.3.128']
ns6.baidu.com,No,['14.215.179.57']
eagle.baidu.com,No,['10.202.105.28']
sec.baidu.com,No,['202.106.2.63']
check.baidu.com,No,['10.46.11.136']
m2.baidu.com,No,"['180.101.49.20', '180.101.49.19']"
xian.baidu.com,No,['180.97.33.34']
cars.baidu.com,No,['180.97.33.90']
safe.baidu.com,No,['180.101.212.32']
che.baidu.com,No,['180.97.104.109']
mse.baidu.com,No,['180.101.49.124']
wow.baidu.com,No,['10.42.3.141']
system.baidu.com,No,['10.26.109.19']
kk.baidu.com,No,['182.61.200.216']
pics.baidu.com,No,['180.97.33.208']
trip.baidu.com,No,['180.97.33.123']
gp.baidu.com,No,['106.120.159.50']
gk.baidu.com,No,['180.101.212.35']
flow.baidu.com,No,['10.46.23.19']
moa.baidu.com,No,"['202.106.2.51', '183.232.232.54', '180.101.49.156']"
mx3.baidu.com,No,['61.135.162.61']
nexus.baidu.com,No,['10.40.8.67']
credit.baidu.com,No,"['220.181.38.171', '220.181.38.187']"
join.baidu.com,No,"['180.149.144.141', '14.215.177.97']"
wifi.baidu.com,No,['180.97.104.162']
mini.baidu.com,No,['180.149.144.203']
orange.baidu.com,No,['101.89.128.48']
hot.baidu.com,No,['180.149.144.203']
vcs.baidu.com,No,['61.135.165.170']
fang.baidu.com,No,"['220.181.107.248', '220.181.107.249']"
ipv6.baidu.com,No,"['220.181.38.251', '123.125.114.144', '220.181.38.148', '39.156.66.10']"
csr.baidu.com,No,['180.76.178.149']
lx.baidu.com,No,['10.212.6.188']
case.baidu.com,No,['10.99.209.45']
sem.baidu.com,Yes,['58.211.137.1']
tiger.baidu.com,No,['10.46.28.36']
www12.baidu.com,No,"['61.135.169.105', '61.135.169.125']"
nm.baidu.com,No,['182.61.62.50']
ares.baidu.com,No,['10.208.7.183']
elastic.baidu.com,No,['111.206.37.160']
nginx.baidu.com,No,['10.36.5.156']
find.baidu.com,No,"['220.181.107.248', '220.181.107.249']"
www10.baidu.com,No,"['61.135.169.105', '61.135.169.125']"
amp.baidu.com,No,"['10.50.14.165', '10.26.5.60']"
yt.baidu.com,No,['180.97.33.25']
op.baidu.com,No,"['123.125.115.174', '123.125.115.209']"
wa.baidu.com,No,['10.207.7.95']
database.baidu.com,No,['10.26.109.19']
wd.baidu.com,No,['10.57.13.230']
advertising.baidu.com,No,['180.97.33.34']
ab.baidu.com,No,"['220.181.107.171', '220.181.107.170']"
m1.baidu.com,No,"['180.101.49.19', '180.101.49.20']"
ka.baidu.com,No,"['10.42.3.102', '10.81.211.194']"
alert.baidu.com,No,['106.120.159.95']
bus.baidu.com,No,['180.97.33.34']
rds.baidu.com,No,['10.26.88.12']
pv.baidu.com,No,['10.210.193.19']
hydra.baidu.com,No,['14.215.177.156']
cmp.baidu.com,No,['10.242.76.34']
traffic.baidu.com,No,['10.242.15.216']
city.baidu.com,No,['180.97.33.90']
ck.baidu.com,No,['106.120.159.243']
et.baidu.com,No,['10.206.217.30']
fk.baidu.com,No,['180.163.198.37']
retail.baidu.com,No,['220.181.38.141']
df.baidu.com,No,['10.36.4.130']
li.baidu.com,No,['10.91.160.188']
robot.baidu.com,No,['220.181.33.237']
xmpp.baidu.com,No,['61.135.165.169']
lj.baidu.com,No,['10.202.6.134']
ko.baidu.com,No,['180.97.104.164']
knowledge.baidu.com,No,"['111.206.37.169', '10.88.46.23']"
pi.baidu.com,No,"['220.181.107.199', '220.181.107.200']"
io.baidu.com,No,['10.46.104.43']
soc.baidu.com,No,['10.215.7.49']
healthcare.baidu.com,No,"['180.101.49.147', '180.101.212.65']"
oc.baidu.com,No,['10.207.6.76']
touch.baidu.com,No,['111.202.114.50']
2012.baidu.com,No,"['180.101.49.131', '180.97.33.136']"
mon.baidu.com,No,['10.65.211.16']
msa.baidu.com,No,['10.26.7.88']
11.baidu.com,No,['220.181.57.55']
2014.baidu.com,No,"['180.97.33.136', '180.101.49.131']"
abs.baidu.com,No,['180.149.144.4']
lv.baidu.com,No,['180.97.33.123']
civil.baidu.com,No,"['180.97.33.136', '180.101.49.131']"
aries.baidu.com,No,['10.95.34.44']
lian.baidu.com,No,['220.181.33.228']
